,SecurityID,ZXF
969,002514.SZE,26
970,002515.SZE,36
971,002516.SZE,30
972,002517.SZE,63
973,002518.SZE,62
974,002519.SZE,33
975,002520.SZE,26
976,002521.SZE,25
977,002522.SZE,22
978,002523.SZE,26
979,002524.SZE,10
980,002526.SZE,26
981,002527.SZE,60
982,002528.SZE,60
983,002529.SZE,26
984,002530.SZE,63
985,002531.SZE,27
986,002532.SZE,26
987,002533.SZE,27
988,002534.SZE,26
989,002535.SZE,26
990,002536.SZE,30
991,002537.SZE,70
992,002538.SZE,22
993,002539.SZE,22
994,002540.SZE,12
995,002541.SZE,23
996,002542.SZE,23
997,002543.SZE,33
998,002544.SZE,61
999,002545.SZE,23
1000,002546.SZE,62
1001,002547.SZE,61
1002,002548.SZE,37
1003,002549.SZE,22
1004,002550.SZE,35
1005,002551.SZE,35
1006,002552.SZE,26
1007,002553.SZE,30
1008,002554.SZE,26
1009,002555.SZE,63
1010,002556.SZE,22
1011,002557.SZE,36
1012,002558.SZE,63
1013,002559.SZE,26
1014,002560.SZE,27
1015,002561.SZE,31
1016,002562.SZE,22
1017,002563.SZE,34
1018,002564.SZE,26
1019,002565.SZE,25
1020,002566.SZE,35
1021,002567.SZE,37
1022,002568.SZE,36
1023,002569.SZE,34
1024,002570.SZE,36
1025,002571.SZE,25
1026,002572.SZE,25
1027,002573.SZE,20
1028,002574.SZE,31
1029,002575.SZE,25
1030,002576.SZE,27
1031,002577.SZE,62
1032,002578.SZE,12
1033,002579.SZE,60
1034,002580.SZE,27
1035,002581.SZE,35
1036,002582.SZE,36
1037,002583.SZE,61
1038,002584.SZE,22
1039,002585.SZE,22
1040,002586.SZE,23
1041,002587.SZE,60
1042,002588.SZE,22
1043,002589.SZE,35
1044,002590.SZE,30
1045,002591.SZE,22
1046,002592.SZE,30
1047,002593.SZE,26
1048,002594.SZE,30
1049,002595.SZE,26
1050,002596.SZE,24
1051,002597.SZE,22
1052,002598.SZE,26
1053,002599.SZE,63
1054,002600.SZE,60
1055,002601.SZE,22
1056,002602.SZE,63
1057,002603.SZE,35
1058,002604.SZE,37
1059,002605.SZE,25
1060,002606.SZE,27
1061,002607.SZE,70
1062,002608.SZE,41
1063,002609.SZE,62
1064,002610.SZE,27
1065,002611.SZE,26
1066,002612.SZE,34
1067,002613.SZE,24
1068,002614.SZE,33
1069,002615.SZE,33
1070,002616.SZE,33
1071,002617.SZE,27
1072,002618.SZE,60
1073,002619.SZE,63
1074,002620.SZE,23
1075,002621.SZE,26
1076,002622.SZE,27
1077,002623.SZE,24
1078,002624.SZE,63
1079,002625.SZE,28
1080,002626.SZE,36
1081,002627.SZE,50
1082,002628.SZE,23
1083,002629.SZE,26
1084,002630.SZE,27
1085,002631.SZE,37
1086,002632.SZE,22
1087,002633.SZE,26
1088,002634.SZE,34
1089,002635.SZE,62
1090,002636.SZE,60
1091,002637.SZE,22
1092,002638.SZE,70
1093,002639.SZE,26
1094,002640.SZE,31
1095,002641.SZE,24
1096,002642.SZE,62
1097,002643.SZE,22
1098,002644.SZE,35
1099,002645.SZE,26
1100,002646.SZE,36
1101,002647.SZE,41
1102,002648.SZE,10
1103,002649.SZE,62
1104,002650.SZE,36
1105,002651.SZE,26
1106,002652.SZE,24
1107,002653.SZE,35
1108,002654.SZE,60
1109,002655.SZE,60
1110,002656.SZE,34
1111,002657.SZE,62
1112,002658.SZE,20
1113,002659.SZE,70
1114,002660.SZE,60
1115,002661.SZE,36
1116,002662.SZE,30
1117,002663.SZE,23
1118,002664.SZE,26
1119,002665.SZE,27
1120,002666.SZE,22
1121,002667.SZE,26
1122,002668.SZE,33
1123,002669.SZE,22
1124,002670.SZE,41
1125,002671.SZE,24
1126,002672.SZE,20
1127,002673.SZE,41
1128,002674.SZE,34
1129,002675.SZE,35
1130,002676.SZE,33
1131,002677.SZE,33
1132,002678.SZE,25
1133,002679.SZE,37
1134,002681.SZE,60
1135,002682.SZE,70
1136,002683.SZE,22
1137,002684.SZE,30
1138,002685.SZE,26
1139,002686.SZE,26
1140,002687.SZE,34
1141,002688.SZE,35
1142,002689.SZE,26
1143,002690.SZE,26
1144,002691.SZE,26
1145,002692.SZE,27
1146,002693.SZE,35
1147,002694.SZE,22
1148,002695.SZE,36
1149,002696.SZE,36
1150,002697.SZE,31
1151,002698.SZE,26
1152,002699.SZE,63
1153,002700.SZE,20
1154,002701.SZE,25
1155,002702.SZE,36
1156,002703.SZE,30
1157,002705.SZE,33
1158,002706.SZE,27
1159,002707.SZE,32
1160,002708.SZE,30
1161,002709.SZE,22
1162,002711.SZE,50
1163,002712.SZE,63
1164,002713.SZE,23
1165,002714.SZE,37
1166,002715.SZE,30
1167,002716.SZE,12
1168,002717.SZE,23
1169,002718.SZE,24
1170,002719.SZE,36
1171,002721.SZE,31
1172,002722.SZE,26
1173,002723.SZE,33
1174,002724.SZE,60
1175,002725.SZE,30
1176,002726.SZE,36
1177,002727.SZE,35
1178,002728.SZE,35
1179,002729.SZE,27
1180,002730.SZE,27
1181,002731.SZE,31
1182,002732.SZE,36
1183,002733.SZE,60
1184,002734.SZE,22
1185,002735.SZE,25
1186,002736.SZE,41
1187,002737.SZE,35
1188,002738.SZE,12
1189,002739.SZE,63
1190,002740.SZE,34
1191,002741.SZE,22
1192,002742.SZE,24
1193,002743.SZE,26
1194,002745.SZE,60
1195,002746.SZE,37
1196,002747.SZE,26
1197,002748.SZE,22
1198,002749.SZE,22
1199,002750.SZE,35
1200,002751.SZE,25
1201,002752.SZE,25
1202,002753.SZE,11
1203,002755.SZE,35
1204,002756.SZE,21
1205,002757.SZE,26
1206,002758.SZE,35
1207,002759.SZE,33
1208,002760.SZE,26
1209,002761.SZE,34
1210,002762.SZE,34
1211,002763.SZE,34
1212,002765.SZE,30
1213,002766.SZE,62
1214,002767.SZE,26
1215,002768.SZE,22
1216,002769.SZE,50
1217,002770.SZE,36
1218,002771.SZE,62
1219,002772.SZE,37
1220,002773.SZE,35
1221,002774.SZE,26
1222,002775.SZE,23
1223,002776.SZE,34
1224,002777.SZE,62
1225,002778.SZE,10
1226,002779.SZE,26
1227,002780.SZE,34
1228,002781.SZE,23
1229,002782.SZE,60
1230,002783.SZE,22
1231,002785.SZE,24
1232,002786.SZE,26
1233,002787.SZE,26
1234,002788.SZE,35
1235,002789.SZE,23
1236,002790.SZE,33
1237,002791.SZE,24
1238,002792.SZE,61
1239,002793.SZE,26
1240,002795.SZE,26
1241,002796.SZE,26
1242,002797.SZE,41
